薙	艹矢亻亠龶
蔡	艹丿乛丶丶二小
裁	十戈亠𧘇
踩	⻊丿⺍木
睬	目丿⺍木
偲	亻田心
参	厶大丿丿丿
残	歹戋
惨	忄厶大丿丿丿
餐	丨一夕又人良
灿	火山
惭	忄车斤
蚕	天虫
璨	王丨一夕又米
粲	丨一夕又米
骖	马厶大丿丿丿
黪	黑厶大丿丿丿
䅟	禾厶大丿丿丿
藏	艹戊乛一丿臣
苍	艹人乛乛
仓	人乛乛
舱	舟人乛乛
沧	氵人乛乛
伧	亻人乛乛
鸧	人乛乛鸟
草	艹日十
操	扌口口口木
肏	入内人
曹	一丨乛一丨丨一日
嘈	口一丨乛一丨丨一日
糙	米⺧口辶
槽	木一丨乛一丨丨一日
漕	氵一丨乛一丨丨一日
艚	舟一丨乛一丨丨一日
螬	虫一丨乛一丨丨一日
𥕢	石一丨乛一丨丨一日
策	⺮一丨乛丨丿ㄟ
侧	亻冂人刂
测	氵冂人刂
册	丿乛丿乛一
厕	厂冂人刂
恻	忄冂人刂
岑	山人丶乛
涔	氵山人丶乛
曾	丷囗⺌日
层	尸二厶
蹭	⻊丷囗⺌日
噌	口丷囗⺌日
嶒	山丷囗⺌日
差	⺶工
查	木日一
察	宀丿乛丶丶二小
茶	艹人朩
插	扌千臼
诧	讠宀丿七
叉	又丶
岔	八刀山
茬	艹𠂇丨土
衩	衤叉
碴	石木日一
姹	女宀丿七
杈	木叉
搽	扌艹人朩
刹	乂朩刂
檫	木宀丿乛丶丶二小
槎	木⺶工
汊	氵叉
镲	钅宀丿乛丶丶二小
锸	钅千臼
馇	饣木日一
垞	土宀丿七
侘	亻宀丿七
猹	犭木日一
蹅	⻊木日一
嵖	山木日一
喳	口木日一
𥻗	米木日一
拆	扌斥
柴	止匕木
钗	钅叉
豺	豸才
侪	亻文丿丨
茝	艹匚丨口丨
虿	万虫
瘥	疒⺶工
产	立丿
颤	亠囗口日一一丿冂人
缠	纟广里
禅	礻丷丨乛一一一丨
蝉	虫丷丨乛一一一丨
搀	扌⺈丨乛一丿乛丶丶
铲	钅产
婵	女丷丨乛一一一丨
掺	扌厶大丿丿丿
阐	门丷丨乛一一一丨
忏	忄千
馋	饣⺈丨乛一丿乛丶丶
潺	氵尸子子子
蟾	虫⺈厂八亠一一口
谄	讠⺈臼
谗	讠⺈丨乛一丿乛丶丶
孱	尸子子子
冁	丷丨乛一一一丨尸艹一乛丿ㄟ
澶	氵亠囗口日一
觇	丨一口冂见下
镡	钅西日十
羼	尸羊⺶羊
廛	广里八土
巉	山⺈口比左匕⺈丨乛一丿乛丶
蒇	艹戊冂人
韂	革⺈厂八亠一一口
躔	⻊广里八土
刬	戋刂
浐	氵产
襜	衤⺈厂八亠一一口
瀍	氵广里八土
骣	马尸子子子
镵	钅⺈口比左匕⺈丨乛一丿乛丶
旵	日山
