薙	艹矢亻亠龶
湔	氵丷一月刂
裥	衤门日
枧	木冂见下
鲣	鱼丨丨又土
趼	⻊开
谫	讠丷一月刂刀
踺	⻊聿廴
楗	木聿廴
暕	日柬
牮	亻弋牛
篯	⺮钅戋
犍	牛聿廴
鳒	鱼丷一乛一一丨丨丿ㄟ
𬣡	讠戋
将	冫丨夕寸
江	氵工
讲	讠井
降	阝夂一乛丨
蒋	艹冫丨夕寸
奖	冫丨夕大
僵	亻一田一田一
姜	⺷女
疆	弓土一田一田一
匠	匚斤
浆	冫丨夕水
酱	冫丨夕酉
缰	纟一田一田一
绛	纟夂一乛丨
桨	冫丨夕木
犟	弓口虫牛
糨	米弓口虫
豇	一口丷一工
茳	艹氵工
礓	石一田一田一
洚	氵夂一乛丨
耩	耒一一丨丨一冉
膙	月弓口虫
鳉	鱼冫丨夕寸
弶	弓亠口小
强	弓口虫
叫	口乛丨
教	耂子攵
交	亠八乂
脚	月土厶卩
角	⺈用
较	车亠八乂
娇	女夭丿丨
焦	亻亠龶灬
骄	马夭丿丨
轿	车夭丿丨
搅	扌⺍冖冂见下
狡	犭亠八乂
郊	亠八乂阝
胶	月亠八乂
觉	⺍冖冂见下
嚼	口丿⺍罒即左寸
绞	纟亠八乂
剿	乛乛乛果刂
浇	氵一乛丿兀
缴	纟白方攵
蛟	虫亠八乂
椒	木上小又
侥	亻一乛丿兀
矫	矢夭丿丨
饺	饣亠八乂
蕉	艹亻亠龶灬
校	木亠八乂
礁	石亻亠龶灬
皎	白亠八乂
窖	宀八⺧口
跤	⻊亠八乂
佼	亻亠八乂
姣	女亠八乂
酵	酉耂子
鲛	鱼亠八乂
艽	艹九
湫	氵禾火
醮	酉亻亠龶灬
铰	钅亠八乂
峤	山夭丿丨
茭	艹亠八乂
徼	彳白方攵
鹪	亻亠龶灬鸟
敫	白方攵
噍	口亻亠龶灬
僬	亻亻亠龶灬
峧	山亠八乂
滘	氵冖八工口
燋	火亻亠龶灬
藠	艹白白白
皦	白白方攵
斠	一一丨丨一冉丶丶十
璬	王白方攵
皭	白丿⺍罒即左寸
恔	忄亠八乂
䴔	亠八乂鸟
漖	氵耂子攵
接	扌立女
解	⺈用刀牛
姐	女且
结	纟士口
界	田人丿丨
节	艹卩
杰	木灬
街	彳土土亍
借	亻艹一日
介	人丿丨
阶	阝人丿丨
洁	氵士口
戒	戈廾
皆	比左匕白
劫	土厶力
截	十戈亻亠龶
捷	扌一乛一一丨一人
揭	扌日勹人乛
竭	立日勹人乛
届	尸由
婕	女一乛一一丨一人
睫	目一乛一一丨一人
诫	讠戈廾
桀	夕一乛丨木
芥	艹人丿丨
桔	木士口
诘	讠士口
颉	士口一丿冂人
嗟	口⺶工
孑	乛丨一
羯	⺶日勹人乛
拮	扌士口
秸	禾士口
玠	王人丿丨
碣	石日勹人乛
讦	讠干
疥	疒人丿丨
喈	口比左匕白
蚧	虫人丿丨
疖	疒卩
絜	丰刀幺小
檞	木⺈用刀牛
劼	士口力
骱	骨人丿丨
鲒	鱼士口
褯	衤广廿巾
湝	氵比左匕白
岊	巴山
楷	木比左匕白
㛃	丰刀女
悈	忄戈廾
蜐	虫土厶力
进	辶井
今	人丶乛
金	人干丶丿一
紧	丨丨又幺小
近	辶斤
尽	尺丶丶
仅	亻又
禁	木木二小
劲	乛丶工力
锦	钅白巾
巾	丨乛丨
筋	⺮月力
津	氵聿
晋	亚日
斤	丿丿一丨
谨	讠廿丨乛一一一丨一
浸	氵彐冖又
襟	衤木木二小
矜	龴乛丨丿人丶乛
瑾	王廿丨乛一一一丨一
烬	火尺丶丶
靳	革斤
噤	口木木二小
觐	廿丨乛一一一丨一冂见下
妗	女人丶乛
缙	纟亚日
堇	廿丨乛一一一丨一
槿	木廿丨乛一一一丨一
衿	衤人丶乛
荩	艹尺丶丶
馑	饣廿丨乛一一一丨一
卺	了乛丿ㄟ一乛乛
瑨	王亚日
廑	广廿丨乛一一一丨一
琎	王井辶
赆	冂人尺丶丶
溍	氵亚日
祲	礻亻彐冖又
浕	氵尺丶丶
墐	土廿丨乛一一一丨一
殣	歹廿丨乛一一一丨一
珒	王聿
𬬱	钅斤
经	纟乛丶工
惊	忄亠口小
竟	立日儿
静	龶月⺈乛一一丨
精	米龶月
睛	目龶月
警	艹勹口攵亠一一口
京	亠口小
境	土立日儿
景	日亠口小
敬	艹勹口攵
镜	钅立日儿
晶	日日日
净	冫⺈乛一一丨
径	彳乛丶工
竞	立口儿
井	一一丿丨
靖	立龶月
荆	艹开刂
菁	艹龶月
阱	阝井
兢	十口儿十口儿
憬	忄日亠口小
婧	女龶月
鲸	鱼亠口小
茎	艹乛丶工
丼	井丶
旌	方丿一生
痉	疒乛丶工
泾	氵乛丶工
迳	辶乛丶工
璟	王日亠口小
胫	月乛丶工
儆	亻艹勹口攵
靓	龶月冂见下
粳	米更
獍	犭立日儿
刭	乛丶工刂
腈	月龶月
肼	月井
倞	亻亠口小
璥	王艹勹口攵
麖	广乛丨丨一比左匕亠口小
鼱	臼乛丶丶乛丶丶乛龶月
猄	犭亠口小
䴖	龶月鸟
汫	氵井
竫	立⺈乛一一丨
囧	囗八丨乛
炯	火冂口
窘	宀八尹口
迥	辶冂口
颎	匕火一丿冂人
扃	户冂口
冏	冂八口
坰	土冂口
泂	氵冂口
䌹	纟冂口
𬳶	马冂口
就	亠口小尤
酒	氵酉
久	丿乛ㄟ
九	丿乛
究	宀八九
救	求攵
旧	丨日
舅	臼田力
纠	纟乛丨
疚	疒久
揪	扌禾火
咎	夂卜口
鹫	亠口小尤鸟
鸠	九鸟
啾	口禾火
臼	丿丨一乛一一
灸	久火
赳	土丨一人乛丨
厩	厂即左一乛丿乛
柩	木匚久
玖	王久
韭	非一
阄	门⺈丨乛一一乛
僦	亻亠口小尤
鬏	一丨一二厶丿丿丿禾火
桕	木臼
氿	氵九
㠇	山亠口小尤
居	尸十口
举	⺍一八一一丨
局	尸乛口
巨	匚乛一
具	具上八
据	扌尸十口
聚	耳又亻丿丿丿ㄟ
剧	尸十口刂
距	⻊巨
惧	忄具上八
拒	扌巨
俱	亻具上八
矩	矢巨
菊	艹勹米
拘	扌勹口
沮	氵且
鞠	革勹米
狙	犭且
橘	木龴乛丨丿冂八口
驹	马勹口
飓	几乂具上八
锯	钅尸十口
咀	口且
踞	⻊尸十口
炬	火巨
掬	扌勹米
遽	辶虍豕
倨	亻尸十口
雎	且亻亠龶
钜	钅巨
踽	⻊禹
裾	衤尸十口
琚	王尸十口
疽	疒且
莒	艹口口
龃	止人凵且
苣	艹巨
榉	木⺍一八一一丨
讵	讠巨
苴	艹且
鞫	革勹亠一一口
焗	火尸乛口
椐	木尸十口
锔	钅尸乛口
筥	⺮口口
屦	尸彳米女
窭	宀八米女
醵	酉虍豕
蒟	艹立勹口
犋	牛具上八
澽	氵虍豕
娵	女耳又
秬	禾巨
崌	山尸十口
岠	山巨
砠	石且
腒	月尸十口
弆	土厶廾
泃	氵勹口
岨	山且
趄	土丨一人且
䴗	目犬鸟
𬶋	鱼勹口
卷	龹乛乛
娟	女口月
倦	亻龹乛乛
捐	扌口月
眷	龹目
绢	纟口月
鹃	口月鸟
涓	氵口月
圈	囗龹乛乛
隽	亻亠龶乃
镌	钅亻亠龶乃
蠲	丷一八皿罒勹虫
狷	犭口月
鄄	西土阝
锩	钅龹乛乛
桊	龹木
焆	火口月
绝	纟⺈巴
决	冫夬guài
爵	丿⺍罒即左寸
诀	讠夬guài
掘	扌尸出
厥	厂丷一乛丨丿⺈人
倔	亻尸出
撅	扌厂丷一乛丨丿⺈人
珏	王玉
崛	山尸出
抉	扌夬guài
噘	口厂丷一乛丨丿⺈人
攫	扌目目亻亠龶又
谲	讠龴乛丨丿冂八口
獗	犭厂丷一乛丨丿⺈人
蹶	⻊厂丷一乛丨丿⺈人
傕	亻丶乛丿丨亠龶
蕨	艹厂丷一乛丨丿⺈人
矍	目目亻亠龶又
橛	木厂丷一乛丨丿⺈人
镢	钅厂丷一乛丨丿⺈人
玦	王夬guài
孓	乛丨ㄟ
桷	木⺈用
觖	⺈用夬guài
爝	火丿⺍罒即左寸
劂	厂丷一乛丨丿⺈人刂
玃	犭目目亻亠龶又
砄	石夬guài
㵐	氵厂丷一乛丨丿⺈人
𫔎	钅龴乛丨丿冂八口
𫘝	马夬guài
军	冖车
君	尹口
俊	亻厶八夂
均	土勹冫
郡	尹口阝
峻	山厶八夂
钧	钅勹冫
骏	马厶八夂
菌	艹囗禾
竣	立厶八夂
浚	氵厶八夂
珺	王尹口
麇	广乛丨丨一比左匕禾
皲	冖车乛丿丨又
焌	火厶八夂
葰	艹亻厶八夂
捃	扌尹口
畯	田厶八夂
莙	艹尹口
晙	日厶八夂
筠	⺮土勹冫
鲪	鱼尹口
䐃	月囗禾
卡	上卜
喀	口宀夂口
咔	口上卜
胩	月上卜
开	一廾
凯	山己几
慨	忄即左一乛丿乛
铠	钅山己
恺	忄山己
揩	扌比左匕白
锴	钅比左匕白
忾	忄气
闿	门山己
剀	山己刂
垲	土山己
锎	钅门开
炌	火人丿丨
蒈	艹比左匕白
看	龵目
堪	土其上八乛
砍	石⺈人
刊	干刂
侃	亻口丿丨乛
坎	土⺈人
勘	其上八乛力
阚	门乛耳攵
瞰	目乛耳攵
龛	人一口龙
戡	其上八乛戈
崁	山土⺈人
莰	艹土⺈人
衎	彳干亍
磡	石其上八乛力
嵁	山其上八乛
墈	土其上八乛力
抗	扌亠几
康	广乛一一丨冫丿ㄟ
亢	亠几
炕	火亠几
慷	忄广乛一一丨冫丿ㄟ
糠	米广乛一一丨冫丿ㄟ
伉	亻亠几
钪	钅亠几
闶	门亠几
𡐓	土广乛一一丨冫丿ㄟ
𩾌	鱼广乛一一丨冫丿ㄟ
靠	⺧口非
考	耂一乛
烤	火耂一乛
铐	钅耂一乛
拷	扌耂一乛
犒	牛亠口冂口
尻	尸九
栲	木耂一乛
㸆	火⺧口非
洘	氵耂一乛
可	丁口
刻	亠乛丿人刂
克	十口儿
客	宀夂口
科	禾丶丶十
课	讠果
颗	果一丿冂人
渴	氵日勹人乛
柯	木丁口
棵	木果
壳	士冖几
氪	气十口儿
磕	石土厶皿
嗑	口土厶皿
珂	王丁口
苛	艹丁口
轲	车丁口
瞌	目土厶皿
坷	土丁口
恪	忄夂口
蝌	虫禾丶丶十
颏	亠乛丿人一丿冂人
窠	宀八果
稞	禾果
溘	氵土厶皿
疴	疒丁口
岢	山丁口
锞	钅果
髁	骨果
骒	马果
缂	纟革
牁	爿丁口
匼	匚人一口
炣	火丁口
剋	十口儿刂
肯	止月
恳	艮心
啃	口止月
垦	艮土
裉	衤艮
坑	土亠几
铿	钅丨丨又土
硁	石乛丶工
空	宀八工
恐	工凡心
控	扌宀八工
孔	子乛
崆	山宀八工
箜	⺮宀八工
倥	亻宀八工
硿	石宀八工
埪	土宀八工
口	丨乛一
扣	扌口
寇	宀二儿丨一又
叩	口卩
抠	扌匚乂
蔻	艹宀二儿丨一又
芤	艹子乛
筘	⺮扌口
眍	目匚乂
𫸩	弓匚乂
苦	艹十口
哭	口口犬
酷	酉⺧口
库	广车
裤	衤广车
枯	木十口
骷	骨十口
窟	宀八尸出
绔	纟大亏
喾	⺍冖⺧口
刳	大亏刂
矻	石乞
圐	囗罒方
夸	大亏
跨	⻊大亏
垮	土大亏
胯	月大亏
挎	扌大亏
侉	亻大亏
姱	女大亏
快	忄夬guài
块	土夬guài
筷	⺮忄夬guài
蒯	艹月月刂
哙	口人二厶
侩	亻人二厶
脍	月人二厶
狯	犭人二厶
郐	人二厶阝
鲙	鱼人二厶
㧟	扌氵匚
宽	宀艹冂见下
款	士二小⺈人
髋	骨宀艹冂见下
况	冫口儿
狂	犭王
矿	石广
旷	日广
眶	目匚王
框	木匚王
匡	匚王
筐	⺮匚王
哐	口匚王
邝	广阝
诳	讠犭王
诓	讠匚王
圹	土广
纩	纟广
贶	冂人口儿
夼	大川
洭	氵匚王
𫛭	犭王鸟
亏	二乛
愧	忄鬼
盔	𠂇火皿
魁	鬼丶丶十
窥	宀八夫冂见下
奎	大土土
葵	艹乛丶丿丿ㄟ天
傀	亻鬼
睽	目乛丶丿丿ㄟ天
馈	饣中一冂人
逵	辶土八土
馗	九丷一自
匮	匚中一冂人
喟	口田月
夔	丷一自止巳八夂
篑	⺮中一冂人
岿	山丨丿彐
揆	扌乛丶丿丿ㄟ天
聩	耳中一冂人
跬	⻊土土
愦	忄中一冂人
悝	忄里
蝰	虫大土土
暌	日乛丶丿丿ㄟ天
蒉	艹中一冂人
櫆	木鬼丶丶十
骙	马乛丶丿丿ㄟ天
喹	口大土土
煃	火大土土
戣	乛丶丿丿ㄟ天戈
𫠆	十又一丿冂人
困	囗木
昆	日比左匕
坤	土申
捆	扌囗木
鲲	鱼日比左匕
琨	王日比左匕
锟	钅日比左匕
髡	一丨一二厶丿丿丿兀
阃	门囗木
悃	忄囗木
堃	方方土
焜	火日比左匕
壸	士冖亚
鹍	日比左匕鸟
裈	衤冖车
醌	酉日比左匕
婫	女日比左匕
括	扌千口
扩	扌广
阔	门氵千口
廓	广亠口子阝
蛞	虫千口
啦	口扌立
拉	扌立
辣	立𠂇束
垃	土立
腊	月艹一日
喇	口束刂
蜡	虫艹一日
落	艹氵夂口
剌	束刂
邋	辶乛乛乛囗乂乛丶丶乛丶丶乛
旯	日九
瘌	疒束刂
砬	石立
镴	钅乛乛乛囗乂乛丶丶乛丶丶乛
蝲	虫束刂
鞡	革扌立
𬶟	鱼束刂
来	一丶丿一丨丿ㄟ
莱	艹来
赖	束⺈冂人
籁	⺮束⺈冂人
睐	目来
癞	疒束⺈冂人
濑	氵束⺈冂人
徕	彳来
崃	山来
涞	氵来
赉	来冂人
俫	亻来
铼	钅来
梾	木来
蓝	艹丨丨丿一丶皿
烂	火丷三
懒	忄束⺈冂人
拦	扌丷三
篮	⺮丨丨丿一丶皿
岚	山几乂
兰	丷三
栏	木丷三
览	丨丨丿一丶冂见下
澜	氵门柬
揽	扌丨丨丿一丶冂见下
滥	氵丨丨丿一丶皿
婪	木木女
阑	门柬
榄	木丨丨丿一丶冂见下
斓	文门柬
缆	纟丨丨丿一丶冂见下
褴	衤丨丨丿一丶皿
谰	讠门柬
罱	罒十冂丷干
襕	衤门柬
镧	钅门柬
漤	氵木木女
𬒗	石丨丨丿一丶冂见下
狼	犭良
浪	氵良
郎	丶即左阝
朗	丶即左月
廊	广丶即左阝
螂	虫丶即左阝
琅	王良
啷	口丶即左阝
榔	木丶即左阝
锒	钅良
阆	门良
烺	火良
蒗	艹氵良
莨	艹良
稂	禾良
崀	山良
㫰	日良
㮾	丶即左月木
埌	土良
塱	丶即左月土
桹	木良
筤	⺮良
蓢	艹丶即左月
老	耂匕
劳	艹冖力
牢	宀牛
姥	女耂匕
捞	扌艹冖力
唠	口艹冖力
佬	亻耂匕
烙	火夂口
酪	酉夂口
涝	氵艹冖力
崂	山艹冖力
嫪	女习习人丿丿丿
痨	疒艹冖力
醪	酉习习人丿丿丿
栳	木耂匕
铑	钅耂匕
耢	耒艹冖力
荖	艹耂匕
铹	钅艹冖力
络	纟夂口
𫭼	土艹冖力
了	乛丨
乐	丿乛丨丿丶
勒	革力
叻	口力
泐	氵阝力
鳓	鱼革力
仂	亻力
簕	⺮革力
嘞	口革力
雷	雨田
类	米大
泪	氵目
累	田幺小
蕾	艹雨田
磊	石石石
垒	厶厶厶土
擂	扌雨田
肋	月力
儡	亻田田田
镭	钅雨田
羸	亡口月羊凡
檑	木雨田
耒	丰丿ㄟ
诔	讠耒
嫘	女田幺小
酹	酉丿⺍寸
缧	纟田幺小
礌	石雨田
罍	田田田缶
藟	艹田田田
癗	疒雨田
冷	冫人丶龴
愣	忄罒方
楞	木罒方
棱	木土八夂
塄	土罒方
崚	山土八夂
堎	土土八夂
里	丨乛一一丨一一
力	乛丿
理	王里
李	木子
立	亠丷一
离	亠乂凵丨乛乛丶
利	禾刂
梨	禾刂木
丽	一丨乛丶丨乛
历	厂力
礼	礻乛
厉	厂万
例	亻歹刂
莉	艹禾刂
黎	禾勹丿人氺
璃	王亠乂凵丨乛乛丶
励	厂万力
哩	口里
狸	犭里
粒	米立
隶	乛一一丨冫丿ㄟ
吏	一丨乛一丿ㄟ
栗	西木
漓	氵亠乂凵丨乛乛丶
雳	雨厂力
厘	厂里
俐	亻禾刂
笠	⺮立
沥	氵厂力
篱	⺮亠乂凵丨乛乛丶
戾	户犬
鲤	鱼里
犁	禾刂牛
砾	石乐
荔	艹力力力
砺	石厂万
郦	丽阝
藜	艹禾勹丿人氺
骊	马丽
俪	亻丽
鹂	丽鸟
蠡	乛乛豕虫虫
栎	木乐
唳	口户犬
喱	口厂里
罹	罒忄亻亠龶
痢	疒禾刂
莅	艹亻立
俚	亻里
逦	辶丽
呖	口厂力
蛎	虫厂万
猁	犭禾刂
澧	氵曲一口丷一
醴	酉曲一口丷一
娌	女里
蓠	艹亠乂凵丨乛乛丶
詈	罒亠一一口
黧	禾勹丿黑
蜊	虫禾刂
缡	纟亠乂凵丨乛乛丶
傈	亻西木
枥	木厂力
溧	氵西木
坜	土厂力
疠	疒万
粝	米厂万
嫠	未攵厂女
锂	钅里
篥	⺮西木
轹	车乐
鲡	鱼丽
疬	疒厂力
苈	艹厂力
浬	氵里
跞	⻊乐
浰	氵禾刂
鳢	鱼曲一口丷一
醨	酉亠乂凵丨乛乛丶
凓	冫西木
朸	木力
㰀	木禾勹丿人氺
珕	王力力力
𫵷	山厂力
𬍛	王乐
俩	亻两
连	辶车
脸	月人一⺍一
联	耳丷天
练	纟一乛乛丿丶
恋	亠丨丨丿丶心
怜	忄人丶龴
炼	火一乛乛丿丶
莲	艹车辶
链	钅车辶
帘	宀八巾
廉	广丷一乛一一丨丨丿ㄟ
敛	人一⺍一攵
涟	氵车辶
镰	钅广丷一乛一一丨丨丿ㄟ
琏	王车辶
濂	氵广丷一乛一一丨丨丿ㄟ
潋	氵人一⺍一攵
殓	歹人一⺍一
奁	大匚乂
裢	衤车辶
楝	木柬
裣	衤人一⺍一
鲢	鱼车辶
梿	木车辶
蠊	虫广丷一乛一一丨丨丿ㄟ
蔹	艹人一⺍一攵
瑓	王柬
𬶠	鱼柬
两	一丨乛丿丶丿丶
量	日一里
亮	亠口冖几
良	丶艮
凉	冫亠口小
梁	氵刀丿丶木
辆	车两
粮	米良
谅	讠亠口小
踉	⻊良
晾	日亠口小
粱	氵刀丿丶米
魉	鬼两
椋	木亠口小
辌	车亠口小
墚	土氵刀丿丶木
悢	忄良
俍	亻良
𫟅	纟亠口小
𬜯	艹两
聊	耳丿乛丿卩
料	米丶丶十
疗	疒了
辽	辶了
廖	广习习人丿丿丿
撩	扌大丶丿日小
寥	宀习习人丿丿丿
僚	亻大丶丿日小
缭	纟大丶丿日小
燎	火大丶丿日小
撂	扌田夂口
獠	犭大丶丿日小
潦	氵大丶丿日小
镣	钅大丶丿日小
嘹	口大丶丿日小
瞭	目大丶丿日小
寮	宀大丶丿日小
蓼	艹习习人丿丿丿
尥	尢勺
鹩	大丶丿日小鸟
嫽	女大丶丿日小
髎	骨习习人丿丿丿
钌	钅了
蹽	⻊大丶丿日小
漻	氵习习人丿丿丿
憭	忄大丶丿日小
簝	⺮大丶丿日小
橑	木大丶丿日小
𪤗	土习习人丿丿丿
列	歹刂
裂	歹刂亠𧘇
猎	犭艹一日
咧	口歹刂
烈	歹刂灬
劣	少力
冽	冫歹刂
趔	土丨一人歹刂
洌	氵歹刂
鬣	一丨一二厶丿丿丿乛乛乛囗乂乛丶丶乛丶丶乛
捩	扌户犬
埒	土丿⺍寸
躐	⻊乛乛乛囗乂乛丶丶乛丶丶乛
峛	山歹刂
脟	月丿⺍寸
䴕	歹刂鸟
𫚭	鱼乛乛乛囗乂乛丶丶乛丶丶乛
林	木木
临	丨丨丿一丶丨乛丨一
琳	王木木
淋	氵木木
邻	人丶龴阝
麟	广乛丨丨一比左匕米夕一乛丨
凛	冫亠囗口二小
拎	扌人丶龴
霖	雨木木
鳞	鱼米夕一乛丨
吝	文口
躏	⻊艹门亻亠龶
粼	米夕一乛丨乛乛
磷	石米夕一乛丨
嶙	山米夕一乛丨
蔺	艹门亻亠龶
赁	亻壬冂人
懔	忄亠囗口二小
辚	车米夕一乛丨
遴	辶米夕一乛丨
廪	广亠囗口二小
潾	氵米夕一乛丨
檩	木亠囗口二小
璘	王米夕一乛丨
啉	口木木
瞵	目米夕一乛丨
膦	月米夕一乛丨
翷	米夕一乛丨习习
箖	⺮木木
𬭸	钅米夕一乛丨
𬴊	马米夕一乛丨
令	人丶龴
灵	彐火
领	人丶龴一丿冂人
另	口力
凌	冫土八夂
玲	王人丶龴
零	雨人丶龴
龄	止人凵人丶龴
铃	钅人丶龴
陵	阝土八夂
岭	山人丶龴
菱	艹土八夂
伶	亻人丶龴
聆	耳人丶龴
翎	人丶龴习习
绫	纟土八夂
〇	乛
羚	⺶人丶龴
呤	口人丶龴
苓	艹人丶龴
泠	氵人丶龴
棂	木彐火
瓴	人丶龴瓦
酃	雨口口口阝
囹	囗人丶龴
鲮	鱼土八夂
蛉	虫人丶龴
鸰	人丶龴鸟
柃	木人丶龴
舲	舟人丶龴
澪	氵雨人丶龴
昤	日人丶龴
祾	礻土八夂
姈	女人丶龴
㥄	忄土八夂
坽	土人丶龴
流	氵亠厶丿丨乛
刘	文刂
留	丿乛丶刀田
六	亠八
柳	木丿乛丿卩
溜	氵丿乛丶刀田
琉	王亠厶丿丨乛
榴	木丿乛丶刀田
浏	氵文刂
瘤	疒丿乛丶刀田
硫	石亠厶丿丨乛
遛	辶丿乛丶刀田
陆	阝击
绺	纟夂卜口
鎏	氵亠厶丿丨乛金
馏	饣丿乛丶刀田
骝	马丿乛丶刀田
镏	钅丿乛丶刀田
旒	方丿一亠厶丿丨乛
镠	钅习习人丿丿丿
锍	钅亠厶丿丨乛
熘	火丿乛丶刀田
鹨	习习人丿丿丿鸟
飗	几乂丿乛丶刀田
瑬	氵亠厶丿丨乛玉
珋	王丿乛丿卩
罶	罒丿乛丶刀田
鹠	丿乛丶刀田鸟
疁	田习习人丿丿丿
碌	石彐氺
龙	𠂇乛丿丶
隆	阝夂一生
笼	⺮龙
拢	扌龙
胧	月龙
珑	王龙
咙	口龙
聋	龙耳
垄	龙土
窿	宀八阝夂一生
陇	阝龙
泷	氵龙
茏	艹龙
眬	目龙
栊	木龙
砻	龙石
哢	口王廾
昽	日龙
癃	疒阝夂一生
漋	氵阝夂一生
弄	王廾
𬕂	⺮工冂人
楼	木米女
搂	扌米女
漏	氵尸雨
髅	骨米女
露	雨⻊夂口
陋	阝丙乛
喽	口米女
娄	米女
篓	⺮米女
镂	钅米女
偻	亻米女
蝼	虫米女
耧	耒米女
蒌	艹米女
瘘	疒米女
嵝	山米女
溇	氵米女
䁖	目米女
剅	一口丷一刂
𦝼	月米女
𪣻	土米女
路	⻊夂口
鲁	鱼日
录	彐氺
撸	扌鱼日
卢	丨一尸
鹿	广乛丨丨一比左匕
炉	火户
芦	艹户
禄	礻彐氺
虏	虍力
璐	王⻊夂口
噜	口鱼日
戮	习习人丿丿丿戈
颅	丨一尸一丿冂人
庐	广户
漉	氵广乛丨丨一比左匕
掳	扌虍力
辘	车广乛丨丨一比左匕
赂	冂人夂口
麓	木木广乛丨丨一比左匕
卤	丨一囗乂
鹭	⻊夂口鸟
泸	氵丨一尸
潞	氵⻊夂口
橹	木鱼日
辂	车夂口
箓	⺮彐氺
胪	月丨一尸
鲈	鱼丨一尸
轳	车丨一尸
垆	土丨一尸
渌	氵彐氺
逯	辶彐氺
鸬	丨一尸鸟
甪	丿用
蕗	艹⻊夂口
舻	舟丨一尸
栌	木丨一尸
簏	⺮广乛丨丨一比左匕
菉	艹彐氺
氇	毛鱼日
僇	亻习习人丿丿丿
琭	王彐氺
镥	钅鱼日
勠	习习人丿丿丿力
稑	禾土八土
绿	纟彐氺
澛	氵鱼日
𫘧	马彐氺
𬬻	钅丨一尸
乱	千口乛
卵	丿乛丶丿乛丨丶
鸾	亠丨丨丿丶鸟
峦	亠丨丨丿丶山
挛	亠丨丨丿丶手
銮	亠丨丨丿丶金
孪	亠丨丨丿丶子
栾	亠丨丨丿丶木
滦	氵亠丨丨丿丶木
脔	亠丨丨丿丶内人
娈	亠丨丨丿丶女
论	讠人匕
伦	亻人匕
轮	车人匕
仑	人匕
沦	氵人匕
抡	扌人匕
囵	囗人匕
𫭢	土人匕
𬬭	钅人匕
罗	罒夕
洛	氵夂口
裸	衤果
逻	辶罒夕
骆	马夂口
萝	艹罒夕
螺	虫田幺小
锣	钅罒夕
啰	口罒夕
珞	王夂口
骡	马田幺小
摞	扌田幺小
雒	夂口亻亠龶
荦	艹冖牛
箩	⺮罒夕
椤	木罒夕
猡	犭罒夕
蠃	亡口月虫凡
脶	月口内
漯	氵田幺小
倮	亻果
捋	扌丿⺍寸
瘰	疒田幺小
泺	氵乐
蓏	艹瓜瓜
虑	虍心
律	彳聿
率	亠幺冫丿丶十
旅	方丿一丿乛丿ㄟ
吕	口口
缕	纟米女
侣	亻口口
驴	马户
屡	尸米女
履	尸彳丿一日夂
滤	氵虍心
褛	衤米女
铝	钅口口
闾	门口口
榈	木门口口
氯	气彐氺
膂	方丿一丿乛丿ㄟ月
稆	禾口口
葎	艹彳聿
垏	土聿
梠	木口口
略	田夂口
掠	扌亠口小
锊	钅丿⺍寸
䂮	丰刀石
圙	囗八面
吗	口马
马	乛乛一
妈	女马
麻	广木木
嘛	口广木木
骂	口口马
码	石马
玛	王马
抹	扌末
蚂	虫马
蟆	虫艹日大
犸	犭马
杩	木马
祃	礻马
摩	广木木手
买	乛丶丶大
卖	十乛丶丶大
埋	土里
脉	月永
麦	龶夂
迈	辶万
霾	雨豸里
劢	万力
唛	口龶夂
荬	艹乛丶丶大
鿏	钅龶夂
满	氵艹两
慢	忄日罒又
漫	氵日罒又
曼	日罒又
蛮	亠丨丨丿丶虫
瞒	目艹两
蔓	艹日罒又
馒	饣日罒又
幔	巾日罒又
谩	讠日罒又
鳗	鱼日罒又
缦	纟日罒又
嫚	女日罒又
墁	土日罒又
颟	艹两一丿冂人
螨	虫艹两
鞔	革⺈丨乛一丿乛
镘	钅日罒又
鬘	一丨一二厶丿丿丿日罒又
𬜬	艹门口
忙	忄亡
芒	艹亡
茫	艹氵亡
氓	亡民
莽	艹犬廾
盲	亡目
蟒	虫艹犬廾
邙	亡阝
漭	氵艹犬廾
牤	牛亡
硭	石艹亡
尨	𠂇乛丿丿丿丶
牻	牛𠂇乛丿丿丿丶
厖	厂𠂇乛丿丿丿丶
杧	木亡
毛	丿一一乛
冒	冂一一目
貌	豸白儿
猫	犭艹田
矛	龴乛丨丿
帽	巾冂一一目
贸	丿乛丶刀冂人
茂	艹戊
茅	艹龴乛丨丿
冇	𠂇冂
髦	一丨一二厶丿丿丿毛
卯	丿乛丿卩
锚	钅艹田
袤	亠龴乛丨丿𧘇
瑁	王冂一一目
懋	木龴乛丨丿木心
牦	牛毛
铆	钅丿乛丿卩
昴	日丿乛丿卩
耄	耂匕毛
蟊	龴乛丨丿虫虫
峁	山丿乛丿卩
旄	方丿一毛
楙	木龴乛丨丿木
泖	氵丿乛丿卩
瞀	龴乛丨丿攵目
茆	艹丿乛丿卩
蝥	龴乛丨丿攵虫
芼	艹毛
眊	目毛
鄚	艹日大阝
么	丿厶
没	氵几又
美	⺷大
每	丿一母
妹	女未
眉	乛丨一丿目
梅	木丿一母
媚	女乛丨一丿目
魅	鬼未
玫	王攵
枚	木攵
媒	女甘木
霉	雨丿一母
昧	日未
煤	火甘木
寐	宀爿未
嵋	山乛丨一丿目
莓	艹丿一母
湄	氵乛丨一丿目
袂	衤夬guài
